x,y
1, 49
1.64852, 48.8035
2.29703, 48.607
2.94555, 48.4104
3.59406, 48.2139
4.24258, 48.0174
4.89109, 47.8209
5.53961, 47.6244
6.18813, 47.4278
6.83664, 47.2313
7.48516, 47.0348
8.13367, 46.8383
8.78219, 46.6418
9.4307, 46.4452
10.0792, 46.2487
10.7277, 46.0522
11.3763, 45.8557
12.0248, 45.6592
12.6733, 45.4626
13.3218, 45.2661
13.9703, 45.0696
14.6188, 44.8731
15.2673, 44.6766
15.9159, 44.48
16.5644, 44.2835
17.2129, 44.087
17.8614, 43.8905
18.5099, 43.694
19.1584, 43.4974
19.807, 43.3009
20.4555, 43.1044
21.104, 42.9079
21.7525, 42.7114
22.401, 42.5148
23.0495, 42.3183
23.698, 42.1218
24.3466, 41.9253
24.9951, 41.7288
25.6436, 41.5322
26.2921, 41.3357
26.9406, 41.1392
27.5891, 40.9427
28.2377, 40.7462
28.8862, 40.5496
29.5347, 40.3531
30.1832, 40.1566
30.8317, 39.9601
31.4802, 39.7636
32.1288, 39.567
32.7773, 39.3705
33.4258, 39.174
